cell,system,instance,noise,n_rows,best_oracle,rank1_err,rank1_s2,rk_err_1,rk_err_10,rk_s2_1,rk_s2_10
boost_converter_4_1em8,boost_converter,4,1em8,100,2.2461837985154887e-06,2.2461837985154887e-06,4.888916015627354e-05,1,1,1,1
boost_converter_5_0,boost_converter,5,0,100,2.413587210647883e-07,2.413587210647883e-07,6.71386718750222e-05,1,1,1,1
boost_converter_5_1em2,boost_converter,5,1em2,100,0.007211303710937478,0.5022926699247418,0.018545532226562522,88,3,36,1
boost_converter_5_1em4,boost_converter,5,1em4,100,0.0004592895507812278,0.0095695221277744,0.0004592895507812278,1,1,1,1
boost_converter_5_1em6,boost_converter,5,1em6,100,1.3604376786713335e-05,9.56162367666824e-05,0.0004257202148437722,1,1,1,1
boost_converter_5_1em8,boost_converter,5,1em8,100,1.088197027088178e-05,1.088197027088178e-05,5.108642578122158e-05,1,1,1,1
boost_converter_6_0,boost_converter,6,0,100,0.00023452758789060946,0.00044067382812501554,0.00044067382812501554,1,1,1,1
boost_converter_6_1em2,boost_converter,6,1em2,88,0.002761627197265637,2.6030686987887957,0.01746566772460939,28,21,8,1
boost_converter_6_1em4,boost_converter,6,1em4,100,0.00026885986328123446,0.0006083679199218595,0.0006083679199218595,1,1,1,1
boost_converter_6_1em6,boost_converter,6,1em6,100,0.00042922973632814054,0.00042922973632814054,0.00042922973632814054,1,1,1,1
boost_converter_6_1em8,boost_converter,6,1em8,100,0.0005282592773437345,0.0005282592773437345,0.0005282592773437345,1,1,1,1
boost_converter_7_0,boost_converter,7,0,100,6.313838341043265e-13,6.313838341043265e-13,5.0384521484370115e-05,1,1,1,1
boost_converter_7_1em2,boost_converter,7,1em2,100,0.004803741455078114,0.15878084053100672,0.005799377441406239,64,5,1,1
boost_converter_7_1em4,boost_converter,7,1em4,100,4.299926757811434e-05,0.00034034603970323207,8.349609375002398e-05,1,1,1,1
boost_converter_7_1em6,boost_converter,7,1em6,100,3.2845409555726235e-05,4.828160733327813e-05,0.00017651367187498934,1,1,1,1
boost_converter_7_1em8,boost_converter,7,1em8,100,3.368937874337341e-06,3.368937874337341e-06,3.09143066405948e-05,1,1,1,1
boost_converter_8_0,boost_converter,8,0,93,2.6566207800282626e-07,2.6566207800282626e-07,5.7800292968757105e-05,1,1,1,1
boost_converter_8_1em2,boost_converter,8,1em2,100,0.02017935981869945,0.02017935981869945,0.03849468994140626,,1,,1
boost_converter_8_1em4,boost_converter,8,1em4,100,0.0001035766601562571,0.001988842068137542,0.0002409057617187571,1,1,1,1
boost_converter_8_1em6,boost_converter,8,1em6,100,2.1651293268698524e-05,3.887458526952159e-05,0.001468078613281243,1,1,1,1
boost_converter_8_1em8,boost_converter,8,1em8,100,2.6547761631245947e-06,2.6547761631245947e-06,0.0007139282226562571,1,1,1,1
boost_converter_9_0,boost_converter,9,0,79,4.684448242187056e-05,0.1944241793520171,0.00023437500000000888,13,13,1,1
boost_converter_9_1em2,boost_converter,9,1em2,100,0.024209747314453134,1.0764192599523181,0.040063629150390634,,51,,1
boost_converter_9_1em4,boost_converter,9,1em4,84,5.447387695312056e-05,0.19306177082224324,0.00011611938476563388,16,16,1,1
boost_converter_9_1em6,boost_converter,9,1em6,80,4.214477539060679e-05,7.797241210938388e-05,7.797241210938388e-05,1,1,1,1
boost_converter_9_1em8,boost_converter,9,1em8,78,4.214477539060679e-05,4.214477539060679e-05,4.214477539060679e-05,1,1,1,1
brusselator_0_0,brusselator,0,0,89,2.3370194668359545e-13,2.3370194668359545e-13,2.3370194668359545e-13,1,1,1,1
brusselator_0_1em2,brusselator,0,1em2,100,0.060713717100195685,0.06401219090825175,0.06401219090825175,,1,,1
brusselator_0_1em4,brusselator,0,1em4,100,0.0002766466683192803,0.0003184015163074372,0.0002766466683192803,1,1,1,1
brusselator_0_1em6,brusselator,0,1em6,100,7.267198630644955e-07,7.267198630644955e-07,7.267198630644955e-07,1,1,1,1
brusselator_0_1em8,brusselator,0,1em8,89,3.1308295955767562e-09,3.1308295955767562e-09,3.1308295955767562e-09,1,1,1,1
brusselator_1_0,brusselator,1,0,100,1.9092505354478817e-12,1.9092505354478817e-12,1.9092505354478817e-12,1,1,1,1
brusselator_1_1em2,brusselator,1,1em2,100,0.01310929984752518,0.2876934110358965,0.2876934110358965,,6,,6
brusselator_1_1em4,brusselator,1,1em4,100,0.0005839640545659552,0.0007897209201962463,0.0005839640545659552,1,1,1,1
brusselator_1_1em6,brusselator,1,1em6,100,6.1241211147811114e-06,6.1241211147811114e-06,6.1241211147811114e-06,1,1,1,1
