cell,err_only,"C: (is_neg1, err)","S2: (sat, is_neg1, err)","lognorm_err: (Σlog², err)","lognorm_neg1_err: (Σlog², is_neg1, err)",oracle_best
daisy_mamil4_5_1em4,0.168572,0.816146,0.816146,0.404349,0.404349,0.0436213
vanderpol_6_1em8,3.99852e-11,3.99852e-11,3.99852e-11,0.307992,0.307992,3.99852e-11
forced_lotka_volterra_0_1em2,0.0964479,0.000561119,0.000561119,0.38749,0.38749,0.00054438
repressilator_5_0,1.23013e-12,1.23013e-12,1.23013e-12,0.00451006,0.00451006,1.23013e-12
boost_converter_7_1em8,3.36894e-06,3.09143e-05,3.09143e-05,1.25141,1.25141,3.36894e-06
harmonic_oscillator_2_1em2,8.36025e-06,8.36025e-06,8.36025e-06,0.00187417,0.00187417,8.2326e-06
fitzhugh_nagumo_1_1em4,0.43259,0.00192336,0.00192336,0.306143,0.306143,0.00192336
forced_lotka_volterra_1_1em2,3.36235,0.00173004,0.00173004,1.25703,1.25703,0.000188751
daisy_mamil3_7_1em2,0.223862,0.0165126,0.0165126,2.1843,2.1843,0.0165126
daisy_mamil3_9_1em4,0.00525629,0.00525629,0.00525629,0.762998,0.762998,0.00525629
daisy_mamil3_8_1em4,0.000117444,0.000117444,0.000117444,0.227661,0.227661,0.000117444
bicycle_model_3_1em4,0.00442197,0.000801147,0.000801147,0.309718,0.309718,0.000391437
fitzhugh_nagumo_8_1em8,5.2712e-08,5.2712e-08,5.2712e-08,0.0133885,0.0133885,5.2712e-08
seir_7_1em8,4.0612e-05,4.0612e-05,4.0612e-05,0.583002,0.583002,4.0612e-05
boost_converter_7_0,6.31384e-13,5.03845e-05,5.03845e-05,1.25141,1.25141,6.31384e-13
crauste_4_1em4,24.8929,0.458094,0.458094,0.458094,0.458094,0.458094
bicycle_model_5_1em8,2.42785e-08,2.42785e-08,2.42785e-08,0.69788,0.69788,2.42785e-08
vanderpol_4_1em2,3.42526e-05,2.14729e-06,2.14729e-06,0.0259555,0.0259555,2.14729e-06
mass_spring_damper_3_0,4.42424e-14,4.42424e-14,4.42424e-14,0.00147717,0.00147717,4.42424e-14
slow_fast_7_1em6,3.53144e-05,3.53144e-05,3.53144e-05,0.00254401,0.00254401,9.04318e-06
slow_fast_6_1em4,10.7908,10.7908,0.000832022,0.00430532,0.00430532,0.000536027
dc_motor_8_1em8,6.23852e-07,6.7215e-06,6.7215e-06,0.09979,0.09979,6.23852e-07
dc_motor_0_1em4,0.0133103,0.000307472,0.000307472,0.586165,0.586165,8.17184e-05
quadrotor_4_1em4,0.000410831,0.00109814,0.00109814,0.192777,0.192777,0.000410831
flexible_arm_5_0,1.47704e-12,1.47704e-12,1.47704e-12,0.026265,0.026265,1.47704e-12
repressilator_7_1em2,0.0636401,0.0636401,0.0636401,1.68988,1.68988,0.0214473
sirt_treatment_4_1em4,0.205282,0.000879743,0.000879743,0.265362,0.265362,0.000879743
hiv_9_0,5.32065e-08,5.32065e-08,5.32065e-08,0.547512,0.547512,5.32065e-08
boost_converter_4_0,2.34267e-08,4.16565e-05,4.16565e-05,1.21334,1.21334,2.34267e-08
harmonic_oscillator_5_1em2,0.000215453,1.54713e-05,1.54713e-05,0.106421,0.106421,1.54713e-05
brusselator_7_1em6,0.00205458,0.00205458,0.00205458,0.101939,0.101939,0.00205458
sirt_treatment_2_0,2.03835e-11,2.03835e-11,2.03835e-11,0.0225633,0.0225633,2.03835e-11
harmonic_oscillator_9_1em6,7.02824e-09,7.02824e-09,7.02824e-09,0.000613742,0.000613742,7.02824e-09
daisy_mamil3_9_1em8,4.75684e-07,4.75684e-07,4.75684e-07,0.091418,0.091418,4.75684e-07
fitzhugh_nagumo_1_1em8,1.69679e-06,1.69679e-06,1.69679e-06,0.0746592,0.0746592,1.69679e-06
aircraft_pitch_6_1em6,6.88505e-05,6.88505e-05,6.88505e-05,0.0720101,0.0720101,6.88505e-05
flexible_arm_3_1em4,0.0665629,0.00202201,0.00202201,0.420775,0.420775,0.00202201
brusselator_8_1em2,0.370906,0.370906,0.370906,0.370906,0.370906,0.370906
dc_motor_2_1em6,4.0657e-05,4.0657e-05,4.0657e-05,0.0161408,0.0161408,3.84979e-05
lotka_volterra_5_0,5.82867e-14,5.82867e-14,5.82867e-14,0.0384699,0.0384699,5.82867e-14
daisy_mamil3_1_1em8,2.47683e-08,2.47683e-08,2.47683e-08,0.00464971,0.00464971,2.47683e-08
quadrotor_7_1em2,0.0322177,0.00908209,0.00908209,1.51782,1.51782,0.00725485
dc_motor_2_0,2.48714e-11,1.10931e-05,1.10931e-05,0.746416,0.746416,2.48714e-11
bicycle_model_8_1em4,4.96788e-05,4.96788e-05,4.96788e-05,0.381956,0.381956,4.96788e-05
vanderpol_1_1em6,2.25798e-08,2.25798e-08,2.25798e-08,0.511668,0.511668,2.25798e-08
bicycle_model_0_1em8,2.05517e-06,2.05517e-06,2.05517e-06,0.424257,0.424257,2.05517e-06
daisy_mamil3_9_1em2,0.386425,0.261228,0.261228,0.791067,0.791067,0.108765
brusselator_9_1em4,0.00233785,0.000100296,0.000100296,0.967398,0.967398,0.000100296
lotka_volterra_4_1em4,9.36508e-05,9.36508e-05,9.36508e-05,0.0378312,0.0378312,9.36508e-05
brusselator_7_1em8,2.95056e-05,2.95056e-05,2.95056e-05,0.101909,0.101909,2.95056e-05
bicycle_model_4_1em8,5.69284e-07,5.69284e-07,5.69284e-07,0.0737139,0.0737139,5.69284e-07
aircraft_pitch_8_1em8,1.48954e-05,0.000299979,0.000299979,0.0116647,0.0116647,1.48954e-05
daisy_mamil4_1_1em8,4.04213e-06,4.04213e-06,4.04213e-06,0.205682,0.205682,4.04213e-06
daisy_mamil3_7_1em6,1.0552e-05,1.0552e-05,1.0552e-05,0.0482083,0.0482083,1.0552e-05
crauste_1_0,6.93423e-11,6.93423e-11,6.93423e-11,0.444057,0.444057,6.93423e-11
seir_9_0,8.41827e-12,8.41827e-12,8.41827e-12,0.0527192,0.0527192,8.41827e-12
daisy_mamil4_8_1em6,0.656775,0.656775,0.656775,0.216014,0.216014,0.0182888
biohydrogenation_5_0,1.57193e-09,1.57193e-09,1.57193e-09,0.0101994,0.0101994,1.57193e-09
aircraft_pitch_9_1em2,0.000623129,0.0323622,0.0323622,0.196921,0.196921,0.000623129
vanderpol_5_1em6,2.53045e-07,2.53045e-07,2.53045e-07,0.542393,0.542393,2.53045e-07
quadrotor_7_0,2.62822e-11,4.27856e-05,4.27856e-05,0.00129598,0.00129598,2.62822e-11
brusselator_1_1em8,9.89272e-08,9.89272e-08,9.89272e-08,0.244033,0.244033,9.89272e-08
biohydrogenation_8_1em6,0.000927497,0.000927497,0.000927497,0.000927476,0.000927476,0.000927438
dc_motor_2_1em8,2.83086e-05,0.000109798,0.000109798,0.0164986,0.0164986,3.468e-06
biohydrogenation_9_1em8,2.26558e-05,2.26558e-05,2.26562e-05,0.261903,0.261903,2.25701e-05
forced_lotka_volterra_5_1em6,0.000169525,0.000169525,0.000169525,0.720297,0.720297,0.000169525
hiv_6_0,1.08658e-08,1.08658e-08,1.08658e-08,0.0792896,0.0792896,1.08658e-08
repressilator_1_1em4,0.00348348,8.72487e-05,8.72487e-05,0.224516,0.224516,8.72487e-05
daisy_mamil3_5_1em8,5.54734e-08,5.54734e-08,5.54734e-08,0.0135317,0.0135317,5.54734e-08
sirt_treatment_9_0,8.40161e-14,8.40161e-14,8.40161e-14,0.0376581,0.0376581,8.40161e-14
seir_4_0,0.00699148,0.00699148,0.00699148,0.452245,0.452245,0.00199157
bicycle_model_6_0,8.83471e-12,8.83471e-12,8.83471e-12,0.284327,0.284327,8.83471e-12
daisy_mamil4_3_1em8,3.50277e-06,3.50277e-06,3.50277e-06,0.00150282,0.00150282,3.50277e-06
hiv_9_1em6,0.35244,0.35244,0.35244,0.35314,0.35314,0.351734
seir_5_1em4,2.0108,2.0826,2.0826,0.893064,0.893064,0.00188837
daisy_mamil3_1_1em2,0.0265105,0.0282819,0.0282819,1.13894,1.13894,0.0265105
biohydrogenation_3_1em6,0.0246011,0.0246011,0.0246011,0.0246011,0.0246011,0.0245893
cstr_6_1em8,0.620123,0.620123,0.251601,1.19962,1.19962,0.251601
hiv_2_1em6,23.7603,0.588335,0.588335,0.588356,0.588356,0.27199
slow_fast_9_1em6,6.31227e-05,6.31227e-05,6.31227e-05,0.00421138,0.00421138,6.31227e-05
repressilator_3_1em8,1.23218e-08,1.23218e-08,1.23218e-08,0.00193539,0.00193539,1.23218e-08
daisy_mamil3_3_1em6,1.60786e-06,1.60786e-06,1.60786e-06,0.0811377,0.0811377,1.60786e-06
aircraft_pitch_5_1em4,0.0119861,0.0119861,0.0119861,0.409679,0.409679,0.000986871
seir_5_1em8,2.0934,2.0934,2.0934,2.01062,2.01062,4.12595e-07
quadrotor_0_1em6,2.18638e-05,4.3457e-05,4.3457e-05,0.011985,0.011985,1.1144e-05
slow_fast_1_0,3.45746e-12,3.45746e-12,3.45746e-12,0.000632597,0.000632597,3.45746e-12
forced_lotka_volterra_9_1em8,0.000102763,6.30493e-05,6.30493e-05,0.28892,0.28892,2.5709e-05
mass_spring_damper_1_1em8,2.49505e-09,2.49505e-09,2.49505e-09,0.00226705,0.00226705,2.49505e-09
aircraft_pitch_5_0,1.47575e-07,0.000159081,0.000159081,1.44226,1.44226,1.47575e-07
seir_0_1em2,0.597751,0.597751,1.47338,0.100374,0.100374,0.100374
boost_converter_2_1em6,8.71606e-05,0.000455658,0.000455658,0.256172,0.256172,5.26352e-05
harmonic_oscillator_9_1em8,3.97085e-11,3.97085e-11,3.97085e-11,0.000172086,0.000172086,3.97085e-11
bicycle_model_8_1em6,1.02034e-05,1.02034e-05,1.02034e-05,0.505806,0.505806,1.02034e-05
flexible_arm_7_1em4,1.70513,0.019552,0.019552,0.019552,0.019552,0.019552
crauste_6_1em6,0.562801,0.0290451,0.0290451,0.0290451,0.0290451,0.0290451
fitzhugh_nagumo_0_1em6,0.000125051,0.000125051,0.000125051,0.593316,0.593316,0.000125051
sirt_treatment_0_0,2.80331e-12,2.80331e-12,2.80331e-12,0.860893,0.860893,2.80331e-12
hiv_6_1em8,0.0253027,0.0253027,0.0253027,0.418208,0.418208,0.0252274
hiv_9_1em8,0.00513232,0.00513232,0.00513232,1.82461,1.82461,0.00511433
