cell,system,instance,noise,n_rows_06,n_rows_14,ceiling_06,ceiling_14,delta
bicycle_model_5_1em2,bicycle_model,5,1em2,208,100,0.0013362274169922417,0.001334918975830074,-1.3084411621677727e-06
bicycle_model_5_1em4,bicycle_model,5,1em4,244,100,2.281087637578949e-05,4.6502113342339335e-05,2.3691236966549845e-05
bicycle_model_5_1em6,bicycle_model,5,1em6,212,100,3.944396972710429e-06,1.1298816334492923e-05,7.354419361782494e-06
bicycle_model_5_1em8,bicycle_model,5,1em8,179,100,2.4278527299692598e-08,2.4278527299692598e-08,0.0
bicycle_model_6_0,bicycle_model,6,0,165,100,8.890777003500716e-12,8.834710740757146e-12,-5.6066262743570405e-14
bicycle_model_6_1em2,bicycle_model,6,1em2,196,100,0.0010441083908081517,0.0011364955902100071,9.238719940185547e-05
bicycle_model_6_1em4,bicycle_model,6,1em4,228,100,5.6400299072167925e-06,6.898498535157227e-05,6.334495544435548e-05
bicycle_model_6_1em6,bicycle_model,6,1em6,195,100,5.6400299072167925e-06,1.927471160889649e-05,1.3634681701679696e-05
bicycle_model_6_1em8,bicycle_model,6,1em8,177,100,5.032099807955603e-07,1.5449463950378828e-06,1.0417364142423224e-06
bicycle_model_7_0,bicycle_model,7,0,207,100,6.562238530349873e-10,7.062953555347917e-10,5.007150249980441e-11
bicycle_model_7_1em2,bicycle_model,7,1em2,309,100,0.014624343872070344,0.014624343872070344,0.0
bicycle_model_7_1em4,bicycle_model,7,1em4,218,100,0.000766052246093718,0.001109374999999968,0.00034332275390625
bicycle_model_7_1em6,bicycle_model,7,1em6,246,100,0.00010401916503910424,0.0003061715703057133,0.00020215240526660905
bicycle_model_7_1em8,bicycle_model,7,1em8,225,100,3.5882615243565397e-06,3.588272563526118e-06,1.1039169578452857e-11
bicycle_model_8_0,bicycle_model,8,0,159,100,3.903655176884513e-12,6.757927550893328e-13,-3.22786242179518e-12
bicycle_model_8_1em2,bicycle_model,8,1em2,164,100,0.004501749038696268,0.004501749038696268,0.0
bicycle_model_8_1em4,bicycle_model,8,1em4,243,100,7.2345733642675825e-06,4.967880249018286e-05,4.244422912591528e-05
bicycle_model_8_1em6,bicycle_model,8,1em6,191,100,6.923675537340301e-07,1.0203361511251785e-05,9.510993957517755e-06
bicycle_model_8_1em8,bicycle_model,8,1em8,163,100,3.6495065069974686e-07,3.6495022304183777e-07,-4.276579090856103e-13
bicycle_model_9_0,bicycle_model,9,0,186,100,3.115840918610502e-13,1.0574874309554616e-13,-2.0583534876550402e-13
bicycle_model_9_1em2,bicycle_model,9,1em2,207,100,0.0004255018234252672,0.0004255018234252672,0.0
bicycle_model_9_1em4,bicycle_model,9,1em4,239,100,8.897061145207719e-06,6.122970581057263e-05,5.2332644665364914e-05
bicycle_model_9_1em6,bicycle_model,9,1em6,207,100,1.0919570923029198e-06,6.242752075169555e-06,5.1507949828666355e-06
bicycle_model_9_1em8,bicycle_model,9,1em8,184,100,6.361107518504383e-08,6.361107518504383e-08,0.0
biohydrogenation_0_0,biohydrogenation,0,0,2107,100,3.0641489345839545e-11,8.621020564092419e-10,8.314605670634023e-10
