synth_idx,category,strategy,source_indices,param_k01,param_k12,param_k13,param_k14,param_k21,param_k31,param_k41,state_x1(t),state_x2(t),state_x3(t),state_x4(t),err
11,per_sp_full,median,[5;6;51;52;99;100;163;164;227;228;289;290;351;352;423;424;441;442;465;466;475;476],0.12938311190284532,0.24907611860302753,0.5717595296419875,0.5717595296419871,0.6232462699345465,1.7531244023265058,1.7531244023265058,0.400000776204,0.7999996117935861,1.3999995025476195,1.3999995025476195,10.43321280224848
12,per_sp_full,trim25_mean,[5;6;51;52;99;100;163;164;227;228;289;290;351;352;423;424;441;442;465;466;475;476],-2.0162836303360354,1.3905192655330976,-10.988710661814752,-10.98871066181475,2.8101978346680494,-2.1325312616901986,-2.1325312616902083,0.4010176425510694,0.7999877975059443,1.3998561520932382,1.3998561520932382,1.3792429185734212e15
13,per_sp_full,median,[11;12;57;58;105;106;169;170;233;234;295;296;357;358;429;430;435;436;447;448;451;452;481;482],0.17991711130824917,0.25042001664877944,0.5727196083597403,0.5727196083597403,0.6257285575561721,2.065697359571743,2.065697359571743,0.40589071556092693,0.799765834637773,1.387110803294596,1.3871108032945947,20.234188268302542
14,per_sp_full,trim25_mean,[11;12;57;58;105;106;169;170;233;234;295;296;357;358;429;430;435;436;447;448;451;452;481;482],0.2366859708769022,0.25036407982817166,-1.09838294058026,-1.098382940580258,0.6256298574564514,1.4266200061510173,1.426620006151018,0.4625140163033975,0.7988302757431462,1.3877882955856258,1.3877882955856258,1652.4338173906417
15,per_sp_full,median,[7;8;53;54;101;102;165;166;229;230;291;292;353;354;425;426;443;444;467;468;477;478],0.12704909859122984,0.24964781138204017,0.5605515018120375,0.5605515018120375,0.6243121512010356,1.8663476098680836,1.866347609868083,0.400000776204,0.7999996117935861,1.3999995025476195,1.3999995025476195,14.717284769093567
16,per_sp_full,trim25_mean,[7;8;53;54;101;102;165;166;229;230;291;292;353;354;425;426;443;444;467;468;477;478],-0.35758922321718867,0.3696056289002038,-3.805024187501045,-3.805024187501045,0.8485709462700739,1.7290973651905996,1.7290973651905999,0.4028507263829259,0.7999453204700862,1.3997216278103772,1.3997216278103772,58500.56797891285
17,per_sp_full,median,[109;110;173;174;359;360;421;422;433;434;439;440;455;456;457;458],0.128456889636625,0.24987055026126606,0.5877665036976063,0.5877665036976063,0.6247962942425418,2.1311569270044175,2.1311569270044175,0.400000776204,0.7999996117935861,1.3999995025476195,1.3999995025476195,19.719227887833856
18,per_sp_full,trim25_mean,[109;110;173;174;359;360;421;422;433;434;439;440;455;456;457;458],0.11615094967362272,0.24989054201425331,17.682632155014947,17.682632155014947,0.6248265020155402,5.318315113732534,5.318315113732534,0.4133265253135023,0.79967522503711,1.3988934171040288,1.3988934171040288,1184.4529457075369
19,per_sp_full,median,[19;20;65;66;115;116;179;180;241;242;303;304;363;364],0.13986222433769646,0.24977156707075773,-1.106644352246552,-1.1066443522465503,0.6246336974243855,0.41668121149344095,0.4166812114934403,0.4153089753678844,0.7972811599103806,1.3967767780247844,1.396776778024785,3463.158905949977
20,per_sp_full,trim25_mean,[19;20;65;66;115;116;179;180;241;242;303;304;363;364],0.11672114309065923,0.2498385287677538,-3.418950955481614,-3.4189509554815944,0.6247387318398588,-0.21518332715510954,-0.21518332715510258,0.3961383949341752,0.8008597965398191,1.3964714234616895,1.396471423461686,971589.6671123288
21,per_sp_full,median,[3;4;49;50;97;98;161;162;225;226;287;288;349;350;473;474;483;484],0.16659868692502544,0.24809144925857277,0.5497865320998763,0.5497865320998776,0.6213244944957161,1.6192388178676134,1.6192388178676116,0.4002597325645743,0.7999989669539662,1.3999208421975438,1.3999208421975438,9.273368417026763
22,per_sp_full,trim25_mean,[3;4;49;50;97;98;161;162;225;226;287;288;349;350;473;474;483;484],-1.0551829748334678,0.24820131199875065,2.670648611349494,2.670648611349492,0.6216060727459128,1.2811267822275132,1.281126782227513,0.4000150802623826,0.7999997784564503,1.3999829443408474,1.3999829443408471,1311.4118623611607
23,per_sp_full,median,[17;18;63;64;113;114;177;178;239;240;301;302;461;462],0.11704213653076129,0.24938438407467556,-2.4955434486673354,-2.495543448667335,0.624017873818616,0.07777567845597222,0.07777567845597289,0.3960622658832459,0.8005512029596417,1.4000983994935934,1.4000983994935927,92096.23626974328
24,per_sp_full,trim25_mean,[17;18;63;64;113;114;177;178;239;240;301;302;461;462],0.14586036417685352,0.24964850323670698,-4.352615376262576,-4.352615376262523,0.6244384187253404,-0.3082408854792508,-0.30824088547923506,0.4060510929032044,0.799141089585767,1.3986475351496235,1.3986475351496201,7.297204455791126e6
25,per_sp_full_with_mp,median,[109;110;173;174;359;360;421;422;433;434;439;440;455;456;457;458;79;80;139;140;203;204;265;266;327;328;387;388;413;414],0.124900150802386,0.2499734699196677,0.5747879671074925,0.5747879671074925,0.6249702438944751,2.0815245104907,2.0815245104907,0.400000776204,0.7999996117935861,1.400006048541171,1.40000604854117,19.626613409447195
26,per_sp_full_with_mp,trim25_mean,[109;110;173;174;359;360;421;422;433;434;439;440;455;456;457;458;79;80;139;140;203;204;265;266;327;328;387;388;413;414],0.11399239412629085,0.24990234053135316,4.994586406150087,4.994586406150087,0.6248456861939155,3.1036982540674924,3.1036982540674924,0.40310087321076965,0.799754955267875,1.3968281874372883,1.396828187437289,410.7820389522447
27,per_sp_full_with_mp,median,[1;2;47;48;95;96;159;160;223;224;285;286;347;348;463;464;23;24;27;28;39;40;69;70;73;74;87;88;119;120;133;134;149;150;183;184;197;198;213;214;245;246;259;260;275;276;307;308;321;322;337;338;367;368;381;382;397;398;411;412;415;416],0.13388436126362438,0.24820886119113558,0.6617732408688225,0.6617732408688225,0.6215483729062639,2.0921910551778122,2.0921910551778122,0.4000006384840791,0.7999996117935861,1.3999998242254783,1.3999998242254619,11.501439979153085
28,per_sp_full_with_mp,trim25_mean,[1;2;47;48;95;96;159;160;223;224;285;286;347;348;463;464;23;24;27;28;39;40;69;70;73;74;87;88;119;120;133;134;149;150;183;184;197;198;213;214;245;246;259;260;275;276;307;308;321;322;337;338;367;368;381;382;397;398;411;412;415;416],0.14775822968850497,0.24862450221653568,4.839427368610857,4.839427368610857,0.622329853899604,1.909708836537279,1.909708836537279,0.4000006035588009,0.7999998566094161,1.3999997130554445,1.3999997130554442,709.7458765545039
29,per_sp_full_with_mp,median,[9;10;55;56;103;104;167;168;231;232;293;294;355;356;427;428;445;446;469;470;479;480;35;36;83;84;127;128;143;144;191;192;207;208;253;254;269;270;315;316;331;332;375;376;391;392],0.1249401561128973,0.2500576944193593,0.5755579282386314,0.5755579282386314,0.6250957861275536,2.065174466626541,2.065174466626541,0.400000776204,0.8000006353934133,1.4000001748669804,1.4000001748669826,19.042064360056308
30,per_sp_full_with_mp,trim25_mean,[9;10;55;56;103;104;167;168;231;232;293;294;355;356;427;428;445;446;469;470;479;480;35;36;83;84;127;128;143;144;191;192;207;208;253;254;269;270;315;316;331;332;375;376;391;392],0.1580121508259155,0.25014856342284314,3.701290880332951,3.701290880332951,0.6252489697988222,1.7319688705724707,1.7319688705724705,0.4022761135758448,0.7999362932784966,1.3991975871665403,1.3991975871665403,530.7945817876256
31,per_sp_full_with_mp,median,[15;16;61;62;111;112;175;176;237;238;299;300;361;362;37;38;85;86;147;148;211;212;273;274;335;336;395;396],0.12494991671755862,0.24997849751145212,0.5706547882981475,0.5706547882981475,0.6249687811180904,2.008045430140207,2.008045430140207,0.39997541372282364,0.8000002403235201,1.3999952282160941,1.3999952282160943,17.857055517225497
32,per_sp_full_with_mp,trim25_mean,[15;16;61;62;111;112;175;176;237;238;299;300;361;362;37;38;85;86;147;148;211;212;273;274;335;336;395;396],0.11583653512957301,0.2499029200083098,-0.03717793417493134,-0.03717793417493134,0.6248446485023279,0.974775327565972,0.974775327565972,0.4460209680101657,0.7992054149434491,1.3840540677373037,1.384054067737306,123.53962401266709
33,per_sp_full_with_mp,median,[3;4;49;50;97;98;161;162;225;226;287;288;349;350;473;474;483;484;25;26;29;30;41;42;71;72;75;76;89;90;121;122;135;136;151;152;185;186;199;200;215;216;247;248;261;262;277;278;309;310;323;324;339;340;369;370;383;384;399;400;407;408],0.1293515855046344,0.24856001032947805,0.5780860013918259,0.5780860013918259,0.6222446819548733,2.09480032129459,2.09480032129459,0.40002906842436237,0.7999994257772054,1.3999997336072225,1.3999997336072225,19.72756055136728
34,per_sp_full_with_mp,trim25_mean,[3;4;49;50;97;98;161;162;225;226;287;288;349;350;473;474;483;484;25;26;29;30;41;42;71;72;75;76;89;90;121;122;135;136;151;152;185;186;199;200;215;216;247;248;261;262;277;278;309;310;323;324;339;340;369;370;383;384;399;400;407;408],0.04292859067350451,0.2487122393980917,4.531996357456029,4.531996357456029,0.6225193174900001,2.080000145592531,2.0800001455925305,0.40021596382870045,0.7999992641077914,1.3978307426353114,1.3978307426353116,632.7345292840657
35,per_sp_full_with_mp,median,[13;14;59;60;107;108;171;172;235;236;297;298;431;432;437;438;449;450;453;454;459;460;471;472;485;486;131;132;153;154;195;196;217;218;257;258;279;280;319;320;341;342;379;380;401;402],0.12442482479135764,0.25014785540473433,0.567475968329421,0.567475968329421,0.6252605952364881,1.9769959262214891,1.9769959262214891,0.400000776204,0.7999996117935861,1.4000094750959795,1.4000094750959786,17.257055368014846
36,per_sp_full_with_mp,trim25_mean,[13;14;59;60;107;108;171;172;235;236;297;298;431;432;437;438;449;450;453;454;459;460;471;472;485;486;131;132;153;154;195;196;217;218;257;258;279;280;319;320;341;342;379;380;401;402],0.14449872867208116,0.2501761336479452,-2.5027501074708756,-2.5027501074708756,0.6253046464705226,0.963216783301655,0.9632167833016569,0.4048039175388754,0.7997946233882822,1.3989474177592114,1.3989474177592107,24273.63923212711
37,per_sp_full_with_mp,median,[5;6;51;52;99;100;163;164;227;228;289;290;351;352;423;424;441;442;465;466;475;476;31;32;43;44;77;78;91;92;123;124;137;138;155;156;187;188;201;202;219;220;249;250;263;264;281;282;311;312;325;326;343;344;371;372;385;386;403;404;417;418],0.12788704805323026,0.24907611860302753,0.5780726669038434,0.5780726669038434,0.6232462699345465,2.0893172981307115,2.0893172981307115,0.4000404524704093,0.7999996117935861,1.3999994885427232,1.3999994885427227,19.538520216101563
38,per_sp_full_with_mp,trim25_mean,[5;6;51;52;99;100;163;164;227;228;289;290;351;352;423;424;441;442;465;466;475;476;31;32;43;44;77;78;91;92;123;124;137;138;155;156;187;188;201;202;219;220;249;250;263;264;281;282;311;312;325;326;343;344;371;372;385;386;403;404;417;418],0.08302631647813627,0.2494262793649096,3.9916947054033614,3.991694705403362,0.6239003473400316,1.8586374513448103,1.8586374513448103,0.4000993717906232,0.7999988357317211,1.3981977751265282,1.3981977751265282,579.0704063174804
39,per_sp_full_with_mp,median,[11;12;57;58;105;106;169;170;233;234;295;296;357;358;429;430;435;436;447;448;451;452;481;482;129;130;145;146;193;194;209;210;255;256;271;272;317;318;333;334;377;378;393;394;409;410],0.124473183346261,0.2503278881677625,0.5751967011220264,0.5751967011220263,0.6255572802619425,2.0543388789273695,2.054338878927369,0.400000776204,0.7999996117935861,1.400003112202788,1.4000031122027876,18.74538100502862
40,per_sp_full_with_mp,trim25_mean,[11;12;57;58;105;106;169;170;233;234;295;296;357;358;429;430;435;436;447;448;451;452;481;482;129;130;145;146;193;194;209;210;255;256;271;272;317;318;333;334;377;378;393;394;409;410],0.16207865286057158,0.2502972782031361,0.6900101146275088,0.6900101146275088,0.6255125006242288,1.524737766811152,1.5247377668111524,0.40591744546430353,0.7998034492185379,1.3919558002158792,1.3919558002158794,0.449223659835854
41,per_sp_full_with_mp,median,[7;8;53;54;101;102;165;166;229;230;291;292;353;354;425;426;443;444;467;468;477;478;33;34;45;46;81;82;93;94;125;126;141;142;157;158;189;190;205;206;221;222;251;252;267;268;283;284;313;314;329;330;345;346;373;374;389;390;405;406;419;420],0.1266829456125691,0.24964781138204017,0.5780008170201921,0.5780008170201921,0.6243121512010356,2.0893517051189585,2.0893517051189585,0.40003786519816475,0.7999996117935861,1.399999476412869,1.399999476412869,19.5275116138576
42,per_sp_full_with_mp,trim25_mean,[7;8;53;54;101;102;165;166;229;230;291;292;353;354;425;426;443;444;467;468;477;478;33;34;45;46;81;82;93;94;125;126;141;142;157;158;189;190;205;206;221;222;251;252;267;268;283;284;313;314;329;330;345;346;373;374;389;390;405;406;419;420],0.11124144002559551,0.24979457036341277,4.058620296659187,4.058620296659187,0.624595409980639,2.118409595204549,2.118409595204549,0.40013992333156484,0.7999976796146234,1.3998490976304376,1.3998490976304379,496.21954109376617
