 Count  Overhead File                                                                      Line Function
     1         0 @Base/complex.jl                                                          393 /(z::ComplexF64, w::ComplexF64)
     1         0 @Base/operators.jl                                                        481 >=
     1         1 @Base/float.jl                                                            623 <=
     1         0 @HomotopyContinuation/src/predictor.jl                                    218 update!(predictor::HomotopyContinuation.Predictor, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}, x̂::Vector{ComplexF64})
     1         0 @HomotopyContinuation/src/norm.jl                                         220 norm(x::Vector{ComplexF64}, w::WeightedNorm{InfNorm})
     1         1 @Base/fastmath.jl                                                         171 max_fast
     1         0 @HomotopyContinuation/src/predictor.jl                                    158 update!(predictor::HomotopyContinuation.Predictor, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}, x̂::Vector{ComplexF64})
     1         0 @HomotopyContinuation/src/predictor.jl                                    202 update!(predictor::HomotopyContinuation.Predictor, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}, x̂::Vector{ComplexF64})
     1         1 @Base/abstractarray.jl                                                   1073 copyto!(dest::SubArray{ComplexF64, 1, Matrix{ComplexF64}, Tuple{Int64, Base.Slice{Base.OneTo{Int64}}}, true}, src::Vector{ComplexF64})
     1         0 @HomotopyContinuation/src/model_kit/compiled_system_homotopy.jl           215 macro expansion
     1         0 @HomotopyContinuation/src/newton_corrector.jl                             126 newton!(x̄::Vector{ComplexF64}, NC::HomotopyContinuation.NewtonCorrector, H::HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x₀::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}; μ::Float64, ω::Float64, extended_precision::Bool, accurate_μ::Bool, first_correction::Bool)
     1         0 @Base/simdloop.jl                                                          77 macro expansion
     1         0 @Base/broadcast.jl                                                       1000 macro expansion
     1         0 @Base/broadcast.jl                                                        617 getindex
     1         0 @Base/broadcast.jl                                                        621 _getindex
     1         0 @Base/broadcast.jl                                                        676 _broadcast_getindex
     1         0 @Base/broadcast.jl                                                        700 _getindex
     1         0 @Base/broadcast.jl                                                        670 _broadcast_getindex
     1         0 @VectorizationBase/src/special/exp.jl                                     785 vexp_generic_core
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               312 lu_ldiv!(x::Vector{ComplexF64}, LU::LU{ComplexF64, Matrix{ComplexF64}, Vector{Int64}}, b::Vector{ComplexF64})
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               268 _ipiv!
     1         1 @HomotopyContinuation/src/linear_algebra.jl                               273 apply_ipiv!
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               854 #ldiv!#36
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               462 skeel_row_scaling!
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               432 skeel_row_scaling!
     1         1 @HomotopyContinuation/src/linear_algebra.jl                               432 skeel_row_scaling!(d::Vector{Float64}, A::Matrix{ComplexF64}, c::Vector{Float64}; scaling_threshold::Float64)
     1         0 @HomotopyContinuation/src/tracker.jl                                      853 step!(tracker::Tracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, debug::Bool)
     1         0 @UnPack/src/UnPack.jl                                                     101 macro expansion
     1         0 @UnPack/src/UnPack.jl                                                      34 unpack
     1         0 @HomotopyContinuation/src/tracker.jl                                      399 getproperty
     1         0 @HomotopyContinuation/src/utils.jl                                        358 getproperty
     1         1 @HomotopyContinuation/src/utils.jl                                        386 _t_helper
     1         0 @HomotopyContinuation/src/linear_algebra.jl                                90 updated!
     1         0 @Base/refvalue.jl                                                          60 setindex!
