model	category	status	classification	runtime_seconds	template_status	n_equations	n_variables	n_effective_eqs	n_effective_vars	structural_fix_count	error_type	message
crauste_revised	limitations	ok	determined_template	23.32	determined	52	52	52	52	0		
cstr	limitations	error	other_error	7526.5							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(T(t))   After substitution: -Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.009289778494990186,-0.0,-0.0,0.6442750374195749,-2.158780023702327,-0.0,-0.0,0.47053955713083695,-0.6540020205740465,-0.0,2.8127820442763736) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.1297625287153977,0.2178956683904745,0.0,0.0,0.0,0.0,0.2789622384088258,0.0,0.0,0.2770158279815953,0.0)exp(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(-0.2317617906272221,0.0,-1.3510104338999054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131125973167023))   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 12   Number of derivative levels in obs_rhs: 12   Dict keys (first 20): Symbolics.Num[k0, E_R, tau, Tin, Cin, dH_rhoCP, UA_VrhoCP, Tc, C(t), T(t), Differential(t, 1)(C(t)), Differential(t, 1)(T(t)), Differential(t, 2)(C(t)), Differential(t, 2)(T(t)), Differential(t, 3)(C(t)), Differential(t, 3)(T(t)), Differential(t, 4)(C(t)), Differential(t, 4)(T(t)), Differential(t, 5)(C(t)), Differential(t, 5)(T(t))]
cstr_fixed_activation	limitations	ok	determined_template	418.11	determined	39	39	39	39	1		
cstr_reparametrized	limitations	ok	determined_template	1892.5	determined	45	45	45	45	1		
daisy_ex3	hard	ok	determined_template	2.12	determined	37	37	37	37	0		
daisy_mamil3	standard	ok	determined_template	1.58	determined	21	21	21	21	0		
daisy_mamil4	hard	ok	determined_template	3.17	determined	32	32	32	32	0		
dc_motor	standard	ok	determined_template	1.48	determined	14	14	14	14	4		
dc_motor_identifiable	standard	ok	determined_template	1.45	determined	16	16	16	16	1		
dc_motor_sinusoidal	hard	error	other_error	1.19							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 2)(omega_m(t))   After substitution: (-Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.03327462859051879,1.4710757642970158,-0.09638668559204161,-0.12424523965929771,-0.8017466759523632,0.13665570602245836) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.1793441714095163,2.0,0.0,0.0,0.0,0.0)(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(10.057086949265573,-0.0,-0.0,-0.0,-0.1,-2.0) + 2.0sin(5.0t))) / Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.3452201762736635,0.0,1.0,0.0,0.0,0.0)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=3, j=1   Number of derivative levels in states_lhs: 7   Number of derivative levels in obs_rhs: 7   Dict keys (first 20): Symbolics.Num[Kt, J, b, omega_m(t), i(t), Differential(t, 1)(omega_m(t)), Differential(t, 1)(i(t)), Differential(t, 2)(omega_m(t)), Differential(t, 2)(i(t)), Differential(t, 3)(omega_m(t)), Differential(t, 3)(i(t)), Differential(t, 4)(omega_m(t)), Differential(t, 4)(i(t)), Differential(t, 5)(omega_m(t)), Differential(t, 5)(i(t)), Differential(t, 6)(omega_m(t)), Differential(t, 6)(i(t)), Differential(t, 7)(omega_m(t)), Differential(t, 7)(i(t))]
fitzhugh_nagumo	hard	ok	determined_template	1.76	determined	14	14	14	14	0		
flexible_arm	standard	ok	determined_template	1.64	determined	25	25	25	25	1		
forced_lotka_volterra	hard	ok	determined_template	1.18	determined	17	17	17	17	1		
forced_lotka_volterra_identifiable	hard	ok	determined_template	1.52	determined	17	17	17	17	0		
forced_lv_sinusoidal	standard	error	other_error	1.62							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(x(t))   After substitution: Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.17692583241233584,0.490934604788005,-0.05875434297226289,0.0,0.0,0.3603857432065434,-0.029730658026182407) - 0.3sin(2.0t)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 7   Number of derivative levels in obs_rhs: 7   Dict keys (first 20): Symbolics.Num[alpha, beta, delta, gamma, x(t), y(t), Differential(t, 1)(x(t)), Differential(t, 1)(y(t)), Differential(t, 2)(x(t)), Differential(t, 2)(y(t)), Differential(t, 3)(x(t)), Differential(t, 3)(y(t)), Differential(t, 4)(x(t)), Differential(t, 4)(y(t)), Differential(t, 5)(x(t)), Differential(t, 5)(y(t)), Differential(t, 6)(x(t)), Differential(t, 6)(y(t)), Differential(t, 7)(x(t)), Differential(t, 7)(y(t))]
global_unident_test	standard	ok	determined_template	1.49	determined	8	8	8	8	2		
harmonic	standard	ok	determined_template	1.18	determined	8	8	8	8	0		
hiv	hard	ok	determined_template	10.73	determined	33	33	33	33	0		
hiv_old_wrong	hard	ok	determined_template	6.18	determined	33	33	33	33	0		
lotka_volterra	standard	ok	determined_template	1.01	determined	14	14	14	14	0		
lv_periodic	hard	ok	determined_template	1.18	determined	12	12	12	12	0		
maglev_linear	standard	ok	determined_template	1.2	determined	21	21	21	21	2		
magnetic_levitation	limitations	ok	determined_template	31.84	determined	21	21	21	21	3		
magnetic_levitation_identifiable	hard	ok	determined_template	1.77	determined	28	28	28	28	0		
magnetic_levitation_sinusoidal	hard	error	other_error	1.45							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 3)(x(t))   After substitution: (Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(117.00100916562232,-1239.5391890177418,5.218837097133053,209.39519118128848,3.2002076633993157,2.7774678758706095,-59.276521656674426) + 200.0(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(3.8472099347623945,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0) + sin(5.0t))) / Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.09441158800607563,1.0,0.0,0.0,0.0,0.0,0.0)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=4, j=1   Number of derivative levels in states_lhs: 8   Number of derivative levels in obs_rhs: 8   Dict keys (first 20): Symbolics.Num[m_lin, k_lin, b_lin, x(t), v(t), i(t), Differential(t, 1)(x(t)), Differential(t, 1)(v(t)), Differential(t, 1)(i(t)), Differential(t, 2)(x(t)), Differential(t, 2)(v(t)), Differential(t, 2)(i(t)), Differential(t, 3)(x(t)), Differential(t, 3)(v(t)), Differential(t, 3)(i(t)), Differential(t, 4)(x(t)), Differential(t, 4)(v(t)), Differential(t, 4)(i(t)), Differential(t, 5)(x(t)), Differential(t, 5)(v(t))]
mass_spring_damper	standard	ok	determined_template	1.54	determined	14	14	14	14	1		
onesp_cubed	standard	ok	determined_template	1.4	determined	4	4	4	4	0		
onevar_exp	standard	ok	determined_template	0.04	determined	4	4	4	4	0		
quadrotor_altitude	standard	ok	determined_template	1.75	determined	11	11	11	11	2		
quadrotor_altitude_identifiable	standard	ok	determined_template	1.36	determined	16	16	16	16	0		
quadrotor_sinusoidal	standard	error	other_error	1.48							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 2)(z(t))   After substitution: (-Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.05064492813444563,0.0,0.17860437959953446,0.0,0.28355927356317545) + 2.0sin(t)) / Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.3128913215760871,1.0,0.0,0.0,0.0)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=3, j=1   Number of derivative levels in states_lhs: 6   Number of derivative levels in obs_rhs: 6   Dict keys (first 20): Symbolics.Num[m, d, z(t), w(t), Differential(t, 1)(z(t)), Differential(t, 1)(w(t)), Differential(t, 2)(z(t)), Differential(t, 2)(w(t)), Differential(t, 3)(z(t)), Differential(t, 3)(w(t)), Differential(t, 4)(z(t)), Differential(t, 4)(w(t)), Differential(t, 5)(z(t)), Differential(t, 5)(w(t)), Differential(t, 6)(z(t)), Differential(t, 6)(w(t))]
repressilator	standard	ok	determined_template	12.61	determined	24	24	24	24	0		
