sp,interp,param_or_ic_label,role,truth_val,estimate,actual_delta,predicted_delta,ift_mismatch,worst_dd_rel,cond_J,n_solutions_prod,closest_dist
13.00000,agp_robust_se_times_rq,Npop_3,state_derivative,NaN,NaN,0.000000e+00,-1.846067e-138,NaN,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,S_1,state_derivative,NaN,NaN,-1.390088e+41,1.676689e-140,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_2,state_derivative,NaN,NaN,2.287222e+42,-3.057086e-141,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,S_2,state_derivative,NaN,NaN,-1.181349e+62,2.026955e-159,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_5,state_derivative,NaN,NaN,1.403835e+105,-1.652823e-159,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,S_3,state_derivative,NaN,NaN,-1.003954e+83,-1.207605e-159,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,Npop_4,state_derivative,NaN,NaN,0.000000e+00,-7.240860e-160,NaN,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,E_4,state_derivative,NaN,NaN,8.446662e+105,2.746991e-160,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_4,state_derivative,NaN,NaN,1.651887e+84,-1.236311e-160,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_3,state_derivative,NaN,NaN,1.943768e+63,-3.597259e-162,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,E_0,state_ic,1.820000e-01,-4.480613e+23,-4.480613e+23,-5.862478e-173,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,S_4,state_derivative,NaN,NaN,-8.531982e+103,5.527698e-180,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_6,state_derivative,NaN,NaN,1.193032e+126,1.944869e-180,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,E_5,state_derivative,NaN,NaN,7.178291e+126,-3.232372e-181,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,E_3,state_derivative,NaN,NaN,9.939149e+84,1.927524e-181,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,E_2,state_derivative,NaN,NaN,1.169535e+64,-1.063329e-187,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
