case_id	source_method_key	source_method_label	target_method_key	target_method_label	seed_primary_role	seed_roles	source_seed_benchmark_rmse	source_seed_max_rel_err	source_seed_fit_objective	target_cold_oracle_rmse	target_cold_selected_rmse	transfer_best_rmse	transfer_selected_rmse	transfer_best_fit_objective	transfer_selected_fit_objective	distance_to_target_oracle	distance_to_target_selected	same_target_oracle	same_target_selected	same_target_any	benchmark_improved_vs_seed	fit_improved_vs_seed	status	reason	transfer_runtime_seconds
hiv_4_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best	1.6933843508673223	11.510537051139936	1940.245113827452	0.9035451243750342	0.9035451243750342	1.6930130747170302	1.6933843508673223	1940.251679624816	1940.245113827452	0.9948183269153211	0.9948183269153211	false	false	false	true	false	ok		0.793915451
hiv_4_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	fit_selected	fit_selected,top_fit_1	2.4253660328850475	15.724864788968828	12.337773604522392	0.9035451243750342	0.9035451243750342	0.9035452497296161	0.9035452497296161	8.304862598288473	8.304862598288473	5.925836430543714e-8	5.925836430543714e-8	true	true	true	true	true	ok		2.519141337
hiv_4_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_2	top_fit_2	2.4392873177809022	15.78324643903759	26.119194081072713	0.9035451243750342	0.9035451243750342	0.9035452493172708	0.9035452493172708	8.304862598289063	8.304862598289063	5.9063436741197806e-8	5.9063436741197806e-8	true	true	true	true	true	ok		3.167402607
hiv_4_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_3	top_fit_3	50.575293880051795	327.5945822586876	55.54039466847988	0.9035451243750342	0.9035451243750342	3.67325247193488	50.575293880051795	74.0805085596232	55.54039466847988	0.913825634416148	0.913825634416148	false	false	false	true	false	ok		4.036031462
hiv_4_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	oracle_best	oracle_best,top_fit_2	0.1531394599359811	0.993347630443529	8.305084326433361	1.6933843508673223	2.4253660328850475	0.1531394599359811	0.9035448249365281	8.305084326433361	8.304862598290473	0.8529641458014394	0.9992048097619072	false	false	false	false	true	ok		40.016678669
hiv_4_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	fit_selected	fit_selected,top_fit_1	0.9035450157662426	5.8616399468772995	8.304862598286386	1.6933843508673223	2.4253660328850475	0.9035450157662426	0.9035450157662426	8.304862598286379	8.304862598286379	0.999995153306137	0.418172380882771	false	false	false	false	true	ok		49.048599061
hiv_4_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	top_fit_3	top_fit_3	0.23384433556036668	1.2765171412922132	8.310528244466378	1.6933843508673223	2.4253660328850475	0.23384433556036668	0.9035449814659384	8.310528244466378	8.304862598289807	0.9999853916734036	0.7603840447344833	false	false	false	false	true	ok		56.391447831
hiv_4_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best,top_fit_2	0.1531394599359811	0.993347630443529	8.305084326433361	0.9035451243750342	0.9035451243750342	0.1531394599359811	0.9035452497237288	8.305084326433361	8.304862598288171	0.9980628754375771	0.9980628754375771	false	false	false	false	true	ok		3.31155995
hiv_4_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	fit_selected	fit_selected,top_fit_1	0.9035450157662426	5.8616399468772995	8.304862598286386	0.9035451243750342	0.9035451243750342	0.9035450157662426	0.9035450157662426	8.304862598286386	8.304862598286386	5.1342598403425484e-8	5.1342598403425484e-8	true	true	true	false	false	ok		0.331348774
hiv_4_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_3	top_fit_3	0.23384433556036668	1.2765171412922132	8.310528244466378	0.9035451243750342	0.9035451243750342	0.23384433556036668	0.9035452498347513	8.310528244466378	8.304862598288281	0.5017557820907281	0.5017557820907281	false	false	false	false	true	ok		4.671222904
